Recid,Candidate Counter,Election Counter,Candidate Name,Candidate Party,Candidate Vote,Candidate Position,Candidate Female,Candidate Incumbent,Party Preference,Gender Preference,Incumbency Preference,Ward Counter,Election Year,Vacancies,Electorate,Turnout,Ballots,Total Party Preferences,Total Gender Preferences,Total Incumbency Preferences,BottomTier Counter,Ward Name,1971 Zone ID,1981 Zone ID,1991 Zone ID,2001 Zone ID,1968 Constituency ID,1983 Constituency ID,1997 Constituency ID,Ward Class,BottomTier Name,BottomTier Class,BottomTierType,TopTier Administrator,TopTier Name,County Name,Region Name,Country Name
301422,301643,88596,Longworth P.,LAB,2139,1,0,0,1,1,1,22015,1973,1,9813,26.3,2581,2576,2576,2576,735,Huyton With Roby No.1,,,,,,,,,Knowsley,MC,Metropolitan County Council,1,Merseyside,Merseyside,North West,England
301421,301642,88596,Bottley L.,CON,353,2,0,0,1,1,1,22015,1973,1,9813,26.3,2581,2576,2576,2576,735,Huyton With Roby No.1,,,,,,,,,Knowsley,MC,Metropolitan County Council,1,Merseyside,Merseyside,North West,England
301423,301644,88596,Moss H.,Comm,84,3,0,0,1,1,1,22015,1973,1,9813,26.3,2581,2576,2576,2576,735,Huyton With Roby No.1,,,,,,,,,Knowsley,MC,Metropolitan County Council,1,Merseyside,Merseyside,North West,England
301429,301650,88599,Hughes S.,LAB,1824,1,0,0,1,1,1,22016,1973,1,9459,37.2,3519,3516,3516,3516,735,Huyton With Roby No.2,,,,,,,,,Knowsley,MC,Metropolitan County Council,1,Merseyside,Merseyside,North West,England
301430,301651,88599,Litster C.,Lib,835,2,0,0,1,1,1,22016,1973,1,9459,37.2,3519,3516,3516,3516,735,Huyton With Roby No.2,,,,,,,,,Knowsley,MC,Metropolitan County Council,1,Merseyside,Merseyside,North West,England
301431,301652,88599,Lockett R.,CON,783,3,0,0,1,1,1,22016,1973,1,9459,37.2,3519,3516,3516,3516,735,Huyton With Roby No.2,,,,,,,,,Knowsley,MC,Metropolitan County Council,1,Merseyside,Merseyside,North West,England
301428,301649,88599,Hennessey W.,Comm,74,4,0,0,1,1,1,22016,1973,1,9459,37.2,3519,3516,3516,3516,735,Huyton With Roby No.2,,,,,,,,,Knowsley,MC,Metropolitan County Council,1,Merseyside,Merseyside,North West,England
301440,301661,88602,Swainbank H.,CON,2660,1,0,0,1,1,1,22017,1973,1,13273,44.7,5933,5930,5930,5930,735,Huyton With Roby No.3,,,,,,,,,Knowsley,MC,Metropolitan County Council,1,Merseyside,Merseyside,North West,England
301439,301660,88602,Spillane M.,LAB,2005,2,0,0,1,1,1,22017,1973,1,13273,44.7,5933,5930,5930,5930,735,Huyton With Roby No.3,,,,,,,,,Knowsley,MC,Metropolitan County Council,1,Merseyside,Merseyside,North West,England
301438,301659,88602,Martin B.,Lib,1210,3,0,0,1,1,1,22017,1973,1,13273,44.7,5933,5930,5930,5930,735,Huyton With Roby No.3,,,,,,,,,Knowsley,MC,Metropolitan County Council,1,Merseyside,Merseyside,North West,England
301437,301658,88602,Leyland R.,Comm,55,4,0,0,1,1,1,22017,1973,1,13273,44.7,5933,5930,5930,5930,735,Huyton With Roby No.3,,,,,,,,,Knowsley,MC,Metropolitan County Council,1,Merseyside,Merseyside,North West,England
301449,301670,88605,Powell S.,LAB,2464,1,0,0,1,1,1,22018,1973,1,11198,33.8,3785,3783,3783,3783,735,Huyton With Roby No.4,,,,,,,,,Knowsley,MC,Metropolitan County Council,1,Merseyside,Merseyside,North West,England
301447,301668,88605,Kearns F.,CON,848,2,0,0,1,1,1,22018,1973,1,11198,33.8,3785,3783,3783,3783,735,Huyton With Roby No.4,,,,,,,,,Knowsley,MC,Metropolitan County Council,1,Merseyside,Merseyside,North West,England
301448,301669,88605,Murray A.,Lib,389,3,1,0,1,1,1,22018,1973,1,11198,33.8,3785,3783,3783,3783,735,Huyton With Roby No.4,,,,,,,,,Knowsley,MC,Metropolitan County Council,1,Merseyside,Merseyside,North West,England
301446,301667,88605,Bell W.,Comm,82,4,0,0,1,1,1,22018,1973,1,11198,33.8,3785,3783,3783,3783,735,Huyton With Roby No.4,,,,,,,,,Knowsley,MC,Metropolitan County Council,1,Merseyside,Merseyside,North West,England
301457,301678,88608,King J.,LAB,1782,1,0,0,1,1,1,22019,1973,1,10832,24.7,2676,2673,2673,2673,735,Kirkby No.1,,,,,,,,,Knowsley,MC,Metropolitan County Council,1,Merseyside,Merseyside,North West,England
301456,301677,88608,Dutton A.,Lib,761,2,0,0,1,1,1,22019,1973,1,10832,24.7,2676,2673,2673,2673,735,Kirkby No.1,,,,,,,,,Knowsley,MC,Metropolitan County Council,1,Merseyside,Merseyside,North West,England
301455,301676,88608,Donnelly S.,Comm,130,3,0,0,1,1,1,22019,1973,1,10832,24.7,2676,2673,2673,2673,735,Kirkby No.1,,,,,,,,,Knowsley,MC,Metropolitan County Council,1,Merseyside,Merseyside,North West,England
301469,301690,88611,Smith D.,LAB,1381,1,0,0,1,1,1,22020,1973,1,11339,22.9,2597,2591,2591,2591,735,Kirkby No.2,,,,,,,,,Knowsley,MC,Metropolitan County Council,1,Merseyside,Merseyside,North West,England
301468,301689,88611,Jones T.,Lib,1004,2,0,0,1,1,1,22020,1973,1,11339,22.9,2597,2591,2591,2591,735,Kirkby No.2,,,,,,,,,Knowsley,MC,Metropolitan County Council,1,Merseyside,Merseyside,North West,England
301467,301688,88611,Hennessy S.,CON,105,3,0,0,1,1,1,22020,1973,1,11339,22.9,2597,2591,2591,2591,735,Kirkby No.2,,,,,,,,,Knowsley,MC,Metropolitan County Council,1,Merseyside,Merseyside,North West,England
301466,301687,88611,Cunningham P.,Comm,101,4,0,0,1,1,1,22020,1973,1,11339,22.9,2597,2591,2591,2591,735,Kirkby No.2,,,,,,,,,Knowsley,MC,Metropolitan County Council,1,Merseyside,Merseyside,North West,England
301478,301699,88614,Bundred G.,LAB,2164,1,0,0,1,1,1,22021,1973,1,14372,20.7,2975,2981,2981,2981,735,Kirkby No.3,,,,,,,,,Knowsley,MC,Metropolitan County Council,1,Merseyside,Merseyside,North West,England
301479,301700,88614,Dray A.,CON,565,2,0,0,1,1,1,22021,1973,1,14372,20.7,2975,2981,2981,2981,735,Kirkby No.3,,,,,,,,,Knowsley,MC,Metropolitan County Council,1,Merseyside,Merseyside,North West,England
301477,301698,88614,Bradburn T.,Comm,252,3,0,0,1,1,1,22021,1973,1,14372,20.7,2975,2981,2981,2981,735,Kirkby No.3,,,,,,,,,Knowsley,MC,Metropolitan County Council,1,Merseyside,Merseyside,North West,England
301488,301709,88617,Howarth W.,LAB,2360,1,0,0,1,1,1,22022,1973,1,9035,42.7,3858,3854,3854,3854,735,Prescot,,,,,,,,,Knowsley,MC,Metropolitan County Council,1,Merseyside,Merseyside,North West,England
301487,301708,88617,Granby F.,CON,1494,2,0,0,1,1,1,22022,1973,1,9035,42.7,3858,3854,3854,3854,735,Prescot,,,,,,,,,Knowsley,MC,Metropolitan County Council,1,Merseyside,Merseyside,North West,England
301494,301715,88620,Foulkes R.,LAB,2266,1,0,0,1,1,1,22023,1973,1,9924,34.8,3454,3455,3455,3455,735,Whiston No.1,,,,,,,,,Knowsley,MC,Metropolitan County Council,1,Merseyside,Merseyside,North West,England
301495,301716,88620,Reynolds J.,CON,1189,2,0,0,1,1,1,22023,1973,1,9924,34.8,3454,3455,3455,3455,735,Whiston No.1,,,,,,,,,Knowsley,MC,Metropolitan County Council,1,Merseyside,Merseyside,North West,England
301503,301724,88623,Lyons T.,LAB,3380,1,0,0,1,1,1,22024,1973,1,13617,34.3,4671,4669,4669,4669,735,Whiston No.3 (Halewood),,,,,,,,,Knowsley,MC,Metropolitan County Council,1,Merseyside,Merseyside,North West,England
301502,301723,88623,Holder B.,CON,1289,2,0,0,1,1,1,22024,1973,1,13617,34.3,4671,4669,4669,4669,735,Whiston No.3 (Halewood),,,,,,,,,Knowsley,MC,Metropolitan County Council,1,Merseyside,Merseyside,North West,England
301508,301729,88626,Alldritt W.,LAB,2453,1,0,0,1,1,1,22025,1973,1,12510,27.7,3465,3463,3463,3463,735,Whiston No.4 (Knowsley),,,,,,,,,Knowsley,MC,Metropolitan County Council,1,Merseyside,Merseyside,North West,England
301509,301730,88626,Simpson W.,CON,668,2,0,0,1,1,1,22025,1973,1,12510,27.7,3465,3463,3463,3463,735,Whiston No.4 (Knowsley),,,,,,,,,Knowsley,MC,Metropolitan County Council,1,Merseyside,Merseyside,North West,England
301510,301731,88626,Traynor M.,Lib,342,3,0,0,1,1,1,22025,1973,1,12510,27.7,3465,3463,3463,3463,735,Whiston No.4 (Knowsley),,,,,,,,,Knowsley,MC,Metropolitan County Council,1,Merseyside,Merseyside,North West,England
301516,301737,88629,Carr H.,LAB,2432,1,0,0,1,1,1,22026,1973,1,13507,22.8,3080,3076,3076,3076,736,Liverpool No.1 (Abercromby & St. James),,,,,,,,,Liverpool,MC,Metropolitan County Council,1,Merseyside,Merseyside,North West,England
301518,301739,88629,Smith E.,CON,364,2,1,0,1,1,1,22026,1973,1,13507,22.8,3080,3076,3076,3076,736,Liverpool No.1 (Abercromby & St. James),,,,,,,,,Liverpool,MC,Metropolitan County Council,1,Merseyside,Merseyside,North West,England
301517,301738,88629,O'Hara R.,Comm,280,3,0,0,1,1,1,22026,1973,1,13507,22.8,3080,3076,3076,3076,736,Liverpool No.1 (Abercromby & St. James),,,,,,,,,Liverpool,MC,Metropolitan County Council,1,Merseyside,Merseyside,North West,England
301613,301834,88656,Carr C.,Lib,4154,1,0,0,1,1,1,22035,1973,1,14436,45.7,6597,6591,6591,6591,736,Liverpool No.10 (Church),,,,,,,,,Liverpool,MC,Metropolitan County Council,1,Merseyside,Merseyside,North West,England
301612,301833,88656,Bolton-Jones H.,CON,2037,2,0,0,1,1,1,22035,1973,1,14436,45.7,6597,6591,6591,6591,736,Liverpool No.10 (Church),,,,,,,,,Liverpool,MC,Metropolitan County Council,1,Merseyside,Merseyside,North West,England
301611,301832,88656,Barnett N.,LAB,400,3,0,0,1,1,1,22035,1973,1,14436,45.7,6597,6591,6591,6591,736,Liverpool No.10 (Church),,,,,,,,,Liverpool,MC,Metropolitan County Council,1,Merseyside,Merseyside,North West,England
301620,301841,88659,Bowen J.,Lib,2069,1,0,0,1,1,1,22036,1973,1,10800,45.7,4936,4939,4939,4939,736,Liverpool No.11 (Clubmoor),,,,,,,,,Liverpool,MC,Metropolitan County Council,1,Merseyside,Merseyside,North West,England
301622,301843,88659,Stewart M.,LAB,1760,2,1,0,1,1,1,22036,1973,1,10800,45.7,4936,4939,4939,4939,736,Liverpool No.11 (Clubmoor),,,,,,,,,Liverpool,MC,Metropolitan County Council,1,Merseyside,Merseyside,North West,England
301621,301842,88659,Jones J.,CON,1110,3,0,0,1,1,1,22036,1973,1,10800,45.7,4936,4939,4939,4939,736,Liverpool No.11 (Clubmoor),,,,,,,,,Liverpool,MC,Metropolitan County Council,1,Merseyside,Merseyside,North West,England
301629,301850,88662,McLean J.,LAB,2414,1,0,0,1,1,1,22037,1973,1,12602,32.4,4083,4083,4083,4083,736,Liverpool No.12 (County),,,,,,,,,Liverpool,MC,Metropolitan County Council,1,Merseyside,Merseyside,North West,England
301630,301851,88662,Tunna P.,CON,1669,2,0,0,1,1,1,22037,1973,1,12602,32.4,4083,4083,4083,4083,736,Liverpool No.12 (County),,,,,,,,,Liverpool,MC,Metropolitan County Council,1,Merseyside,Merseyside,North West,England
301639,301860,88665,Holmes G.,Lib,3800,1,0,0,1,1,1,22038,1973,1,12667,49.8,6308,6309,6309,6309,736,Liverpool No.13 (Croxteth),,,,,,,,,Liverpool,MC,Metropolitan County Council,1,Merseyside,Merseyside,North West,England
301637,301858,88665,Amyes R.,CON,1624,2,0,0,1,1,1,22038,1973,1,12667,49.8,6308,6309,6309,6309,736,Liverpool No.13 (Croxteth),,,,,,,,,Liverpool,MC,Metropolitan County Council,1,Merseyside,Merseyside,North West,England
301638,301859,88665,Cowley D.,LAB,885,3,0,0,1,1,1,22038,1973,1,12667,49.8,6308,6309,6309,6309,736,Liverpool No.13 (Croxteth),,,,,,,,,Liverpool,MC,Metropolitan County Council,1,Merseyside,Merseyside,North West,England
